title,text,rating,id,language,reviewer,location,cons,pros,url,datetime,reviewer_employee_type,job_work_and_life_balance_rating,compensation_and_benefits_rating,job_security_and_advancement_rating,management_rating,job_culture_rating
Fun to work here,Fun and easy place to work. Kind staff. My boss cares about me and makes it so I can go to school and work. Highly recommend working here. Space to grow,5,1i1kov3ds3n4a001,en,Reseptionist,"Los Angeles, CA",,Flexible,https://indeed.com/cmp/Airbnb/reviews/fun-to-work-here?id=accdc0ee74414a4f,2024-06-30T00:00:00,Current Employee,5,5,5,5,5
Great experience : I have great memories about my role at Airbnb,Great place to work. The staff and the role itself were great overall. Airbnb is a nice  place to work and learn much more about the company and about marketing ATL/BTL.,5,1i3lv3gbtm3qm802,en, French Marketing Manager for Airbnb,(United-Kingdom),,,https://indeed.com/cmp/Airbnb/reviews/great-experience-i-have-great-memories-about-my-role-at-airbnb?id=fa2313a9fadacf9e,2024-07-25T00:00:00,Current Employee,0,5,5,5,5
Nice,"You have your own time. You set your own rules within the confines of what is generally accepted in hosting. but you do have a lot of flexibility for being creative on how you price your units and how you treat your guests. Overall its a very rewarding experience so long as you're passionate with what you do. YOu will learn a lot. from customer service, maintenance, finance, marketing etc.",5,1i3lnrklvm3qm802,en,Property Manager,philippines,,,https://indeed.com/cmp/Airbnb/reviews/nice?id=ea466f0b627e8577,2024-07-25T00:00:00,Current Employee,0,0,0,0,0
"Good pay, lots of coolaid ","Good pay, benefits.  Very little room for independent thinking.  Much more interested in value projecting than actually measuring impact of work.  Also you’re really messing with the housing market ",2,1i3e8mk75j3mq802,en,Risk Analyst,"Portland, OR",,,https://indeed.com/cmp/Airbnb/reviews/good-pay-lots-of-coolaid?id=9ed3c2b2661882a7,2024-07-22T00:00:00,Former Employee,0,0,0,0,0
Great place to work,"They treat and pay their employees well, especially on the tech side. You have to be comfortable with a top-down approach to software development. The CEO being involved can sometimes be a blocker but overall I was very happy here.",5,1i33vq02bj3mq800,en,Software Engineer,"Seattle, WA",,,https://indeed.com/cmp/Airbnb/reviews/great-place-to-work?id=f7fc54d9822c079e,2024-07-18T00:00:00,Former Employee,0,0,0,0,0
Not bad,"Job involved cleaning quickly,really tires you out a lot. Strong chemicals made me have headaches I think there are a bit more enjoyable job out there . Pay is decent.",5,1i2elo2n2j0gp801,en,Cleaner,"London, Greater London",,,https://indeed.com/cmp/Airbnb/reviews/not-bad?id=8481fdb2a8f91049,2024-07-10T00:00:00,Former Employee,0,0,0,0,0
"Un bulo principal,un buen ambiente de trabajo","Aprendí cosas que desconocia,es un lugar de constante movimiento de trabajo",5,1i29vsq20k613800,es,Mantenimiento general,"Florida City, FL",Se descansa un dia,Tenía tres días de enfermedad,https://indeed.com/cmp/Airbnb/reviews/un-bulo-principal-un-buen-ambiente-de-trabajo?id=e0fed21547b7d2c4,2024-07-08T00:00:00,Former Employee,5,5,5,5,5
"Good people, a little messy under the bonnet"," worked as a Project Manager at Airbnb in Dublin for one year, and overall, it was a positive experience.

Pros:

Dynamic Work Environment: The office culture is vibrant and collaborative, fostering creativity and innovation.
Supportive Team: Talented colleagues and management encouraged continuous learning and development.
Perks and Benefits: Excellent benefits, including health insurance, wellness programs, and generous vacation policies.
Cons:

Fast-Paced Environment: The dynamic environment can be overwhelming at times, requiring strong time management skills.
Communication Challenges: Coordination across different time zones sometimes led to delays.
Career Advancement: The path to advancement is competitive and requires consistent performance.",4,1i1vina4ugpe7800,en,Project Manager (Contract),"Dublin, County Dublin",,,https://indeed.com/cmp/Airbnb/reviews/good-people-a-little-messy-under-the-bonnet?id=827d54cff115a162,2024-07-04T00:00:00,Former Employee,0,0,0,0,0
Buen trabajo ,"Todo en orden 
Un trabajo que se ajusta a los estilos de vida de personas que quieren diferentes ingresos extras para su día a día, recomiendo ampliamente ",4,1i1qd84a0k613800,es,Anfitriona,México,,,https://indeed.com/cmp/Airbnb/reviews/buen-trabajo?id=1f6972e5f4bb8f4c,2024-07-02T00:00:00,Current Employee,0,0,0,0,0
Bons métodos ,"As políticas da empresa são bem definidas e bem versáteis para o colaborador, a forma de contato e a segurança de dados são muito bom e tem muita flexibilidade. ",4,1i1ot70mh2ff4002,pt,Analista de Suporte,"São Paulo, SP",,,https://indeed.com/cmp/Airbnb/reviews/bons-m%C3%A9todos?id=4825bf38b8f6b7f8,2024-07-02T00:00:00,Former Employee,0,0,0,0,0
